date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:54	16748/16748	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:14:54%20GMT	https://perldoc.perl.org/	~/websites/perldoc/perldoc.perl.org/index.html	(from )
01:14:55	498/498	---M-Z	200	added ('OK')	application/xml	date:Wed,%2006%20Aug%202025%2015:14:55%20GMT	https://perldoc.perl.org/opensearch.xml	~/websites/perldoc/perldoc.perl.org/opensearch.xml	(from https://perldoc.perl.org/)
01:15:05	231913/231913	---M-Z	200	added ('OK')	text/css	etag:%225d48f10df20184d78f6caccfb3e542e8%22	https://perldoc.perl.org/css/bootstrap.min.css	~/websites/perldoc/perldoc.perl.org/css/bootstrap.min.css	(from https://perldoc.perl.org/)
01:15:05	1285/1285	---M-Z	200	added ('OK')	text/css	etag:%22e32310b5f1e4e7b4789dbc152df8ec18%22	https://perldoc.perl.org/css/stackoverflow-light.min.css	~/websites/perldoc/perldoc.perl.org/css/stackoverflow-light.min.css	(from https://perldoc.perl.org/)
01:15:06	3196/3196	---M-Z	200	added ('OK')	text/css	etag:%22b5d2e4aa9525c1cb8f7e004a1a344935%22	https://perldoc.perl.org/css/perldoc.css	~/websites/perldoc/perldoc.perl.org/css/perldoc.css	(from https://perldoc.perl.org/)
01:15:07	1912/1912	---M--	200	added ('OK')	image/png	etag:%22be39500daddcb50a14527f79a133c76e%22	https://perldoc.perl.org/images/perl_camel_30.png	~/websites/perldoc/perldoc.perl.org/images/perl_camel_30.png	(from https://perldoc.perl.org/)
01:15:08	44585/44585	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:08%20GMT	https://perldoc.perl.org/perl	~/websites/perldoc/perldoc.perl.org/perl.html	(from https://perldoc.perl.org/)
01:15:09	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:09%20GMT	https://perldoc.perl.org/5.42.0/	~/websites/perldoc/perldoc.perl.org/5.42.0/index.html	(from https://perldoc.perl.org/)
01:15:09	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:09%20GMT	https://perldoc.perl.org/5.40.3/	~/websites/perldoc/perldoc.perl.org/5.40.3/index.html	(from https://perldoc.perl.org/)
01:15:09	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:09%20GMT	https://perldoc.perl.org/5.40.2/	~/websites/perldoc/perldoc.perl.org/5.40.2/index.html	(from https://perldoc.perl.org/)
01:15:09	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:09%20GMT	https://perldoc.perl.org/5.40.1/	~/websites/perldoc/perldoc.perl.org/5.40.1/index.html	(from https://perldoc.perl.org/)
01:15:11	50796/50796	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:10%20GMT	https://perldoc.perl.org/perlintro	~/websites/perldoc/perldoc.perl.org/perlintro.html	(from https://perldoc.perl.org/)
01:15:11	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:11%20GMT	https://perldoc.perl.org/5.38.5/	~/websites/perldoc/perldoc.perl.org/5.38.5/index.html	(from https://perldoc.perl.org/)
01:15:11	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:11%20GMT	https://perldoc.perl.org/5.38.4/	~/websites/perldoc/perldoc.perl.org/5.38.4/index.html	(from https://perldoc.perl.org/)
01:15:11	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:11%20GMT	https://perldoc.perl.org/5.38.3/	~/websites/perldoc/perldoc.perl.org/5.38.3/index.html	(from https://perldoc.perl.org/)
01:15:11	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:11%20GMT	https://perldoc.perl.org/5.40.0/	~/websites/perldoc/perldoc.perl.org/5.40.0/index.html	(from https://perldoc.perl.org/)
01:15:12	47342/47342	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:12%20GMT	https://perldoc.perl.org/perlfaq	~/websites/perldoc/perldoc.perl.org/perlfaq.html	(from https://perldoc.perl.org/)
01:15:13	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:13%20GMT	https://perldoc.perl.org/5.38.1/	~/websites/perldoc/perldoc.perl.org/5.38.1/index.html	(from https://perldoc.perl.org/)
01:15:13	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:13%20GMT	https://perldoc.perl.org/5.38.2/	~/websites/perldoc/perldoc.perl.org/5.38.2/index.html	(from https://perldoc.perl.org/)
01:15:13	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:13%20GMT	https://perldoc.perl.org/5.38.0/	~/websites/perldoc/perldoc.perl.org/5.38.0/index.html	(from https://perldoc.perl.org/)
01:15:13	17168/17168	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2015:15:13%20GMT	https://perldoc.perl.org/5.36.3/	~/websites/perldoc/perldoc.perl.org/5.36.3/index.html	(from https://perldoc.perl.org/)
